,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,year2
0,1,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,2010.3546294891253
1,2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,2010.0729444855085
2,3,TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,2010.2633709527474
3,4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,2010.6239454924603
4,5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,2010.9427855189344
5,6,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,2010.4325479024753
6,7,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,2010.8424851733944
7,8,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,2010.0269052036333
8,9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76,2010.2227129119442
9,10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,2010.817116340855
10,11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73,2010.7020283541099
11,12,Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73,2010.6727365323693
12,13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73,2010.6571369574458
13,14,Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73,2010.5639636289993
14,15,Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72,2010.252435372451
15,16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72,2010.6521595342078
16,17,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71,2010.5964753996623
17,18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70,2010.864548292607
18,19,Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69,2010.3536302646044
19,20,Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69,2010.7262961319911
20,21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68,2010.1388478614958
21,22,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66,2010.5432939476943
22,23,Take It Off,Kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66,2010.8887157381205
23,24,Misery,Maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65,2010.8785517992628
24,25,All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28,65,238,26,5,65,2010.1543514185316
25,26,Animal,Neon Trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65,2010.3424953983276
26,27,Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5,88,203,2,5,64,2010.3511347637964
27,28,I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63,2010.6415281933148
28,29,Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63,2010.0733198696037
29,30,California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18,40,235,0,5,62,2010.9894115797824
30,31,3,Britney Spears,dance pop,2010,135,71,70,-2,14,79,213,5,5,62,2010.7626740417613
31,32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,62,2010.4415152527
32,33,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,-3,42,52,172,8,12,62,2010.9413254871397
33,34,Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,-7,31,41,258,18,37,62,2010.6089772834998
34,35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,-5,13,55,249,16,11,62,2010.2490876058105
35,36,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,-5,13,80,196,8,5,61,2010.6256144811412
36,37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,13,7,264,83,3,61,2010.190362150185
37,38,If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,37,79,228,1,11,59,2010.666272393164
38,39,Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,-6,43,84,269,2,10,59,2010.8766994633183
39,40,Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,12,26,253,3,9,58,2010.723830603766
40,41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58,2010.0958612321315
41,42,Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,10,10,273,4,3,57,2010.6121213616036
42,43,Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57,2010.3128675084924
43,44,Loca,Shakira,colombian pop,2010,112,87,80,-4,9,85,193,19,7,56,2010.7827485368816
44,45,You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,-6,14,7,257,85,4,56,2010.2777414690415
45,46,Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,-5,56,54,186,0,4,55,2010.5303142947953
46,47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,-4,18,57,220,6,7,52,2010.3040348151799
47,48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,52,2010.055719383569
48,49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,26,58,329,7,39,49,2010.891210852783
49,50,Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33,2010.0418067789165
50,51,Hello,Martin Solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0,2010.2791733867698
51,52,A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81,2011.2616871609207
52,53,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80,2011.4220026541218
53,54,Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79,2011.0646864510406
54,55,Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9,43,221,2,4,78,2011.3781332594947
55,56,Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76,2011.8361943714651
56,57,Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37,76,236,0,14,76,2011.1622502716928
57,58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32,62,201,1,5,76,2011.5363880917396
58,59,Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,65,267,8,9,76,2011.9728891961875
59,60,Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75,2011.7829284377863
60,61,Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75,2011.5636048716499
61,62,What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14,88,221,0,5,74,2011.0061449577454
62,63,Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33,49,260,0,16,73,2011.3837139190323
63,64,Monster,Kanye West,chicago rap,2011,125,69,63,-6,67,10,379,0,20,73,2011.003418049878
64,65,Marry You,Bruno Mars,pop,2011,145,83,62,-5,10,48,230,33,4,73,2011.2485013604442
65,66,Best Thing I Never Had,Beyoncé,dance pop,2011,99,65,55,-4,9,30,254,14,3,73,2011.755016174421
66,67,Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27,35,262,2,16,72,2011.4769235156014
67,68,We R Who We R,Kesha,dance pop,2011,120,82,74,-5,12,65,205,1,4,72,2011.9300800442584
68,69,Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27,68,223,3,18,72,2011.2208920553812
69,70,Good Life,OneRepublic,dance pop,2011,95,69,63,-8,13,65,253,8,5,72,2011.889353175376
70,71,Just Can't Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,11,26,219,19,18,71,2011.1035253335433
71,72,On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7,57,285,11,5,69,2011.8144986980633
72,73,What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,23,7,69,2011.1265062021314
73,74,Yeah 3x,Chris Brown,dance pop,2011,130,88,71,-3,9,70,242,0,4,69,2011.3932947571811
74,75,Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16,40,208,23,3,68,2011.9399543101563
75,76,Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,-4,19,80,199,10,32,67,2011.8202161053177
76,77,The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58,-6,11,36,321,0,4,67,2011.086305790726
77,78,E.T.,Katy Perry,dance pop,2011,152,87,62,-5,37,76,230,2,18,66,2011.4136378194523
78,79,Till the World Ends,Britney Spears,dance pop,2011,132,71,69,-6,20,45,238,2,7,65,2011.1476553790885
79,80,I Wanna Go,Britney Spears,dance pop,2011,130,55,70,-7,33,79,210,0,4,64,2011.2702412879048
80,81,Blow,Kesha,dance pop,2011,120,73,75,-4,7,81,220,0,4,64,2011.3926200419432
81,82,You And I,Lady Gaga,dance pop,2011,127,70,52,-5,9,52,307,9,5,64,2011.4837207309313
82,83,Judas,Lady Gaga,dance pop,2011,131,93,66,-4,27,53,249,0,7,63,2011.184079833183
83,84,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,65,-4,12,32,232,3,5,63,2011.7007888209403
84,85,Please Don't Go,Mike Posner,dance pop,2011,120,88,70,-4,13,66,197,0,3,63,2011.8248221401834
85,86,We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61,2011.8119566071698
86,87,Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,46,38,265,0,6,61,2011.7796274061159
87,88,1+1,Beyoncé,dance pop,2011,63,38,30,-7,7,26,274,38,3,60,2011.1101194333276
88,89,Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,24,39,229,1,4,59,2011.8576676501277
89,90,I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,8,70,200,2,14,59,2011.3036783640794
90,91,Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,37,89,223,13,6,58,2011.1468130289115
91,92,Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,29,73,262,2,4,58,2011.3505157782054
92,93,S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,5,89,257,5,5,54,2011.74048943361
93,94,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,-4,18,57,220,6,7,52,2011.7332423217847
94,95,Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,12,9,247,73,3,50,2011.1590878616785
95,96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,26,58,329,7,39,49,2011.909203818369
96,97,Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,-8,11,19,255,91,3,46,2011.1035851872314
97,98,Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,40,59,201,6,23,38,2011.8341235495448
98,99,Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,12,56,208,0,12,38,2011.100556009061
99,100,Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,32,69,201,2,7,31,2011.9660686926072
100,101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,22,37,279,39,38,28,2011.3780140567612
101,102,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,67,72,231,0,4,27,2011.009135770361
102,103,Firework,Katy Perry,dance pop,2011,124,83,64,-5,11,65,228,14,5,25,2011.9961677226227
103,104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,19,53,227,56,33,7,2011.9546933368902
104,105,Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80,2012.7156683355204
105,106,Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,79,2012.2782328126498
106,107,Paradise,Coldplay,permanent wave,2012,140,59,45,-7,8,20,279,5,3,79,2012.5377100165952
107,108,Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,79,2012.9116553934732
108,109,What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78,2012.5589652301842
109,110,I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,77,2012.2777071629105
110,111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76,2012.3293490794842
111,112,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,7,92,188,8,5,76,2012.5402427525878
112,113,Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76,2012.2896951387459
113,114,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,12,75,193,1,9,75,2012.0098074751536
114,115,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11,68,222,5,5,74,2012.1368496877815
115,116,Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,74,2012.1180084279451
116,117,Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,25,75,211,14,8,73,2012.2691670966826
117,118,One More Night,Maroon 5,pop,2012,93,82,72,-3,8,62,220,6,3,73,2012.8056895328714
118,119,Good Time,Owl City,pop,2012,126,87,56,-4,37,68,206,2,14,73,2012.0030564397907
119,120,Glad You Came,The Wanted,boy band,2012,127,85,72,-4,11,45,198,3,6,72,2012.2865023499185
120,121,Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,7,53,228,0,6,72,2012.817277399211
121,122,International Love,Pitbull,dance pop,2012,120,86,67,-3,34,65,227,1,5,72,2012.9475422422258
122,123,Some Nights,fun.,baroque pop,2012,108,74,67,-7,9,39,277,2,5,72,2012.3068565566634
123,124,Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,13,33,171,4,5,71,2012.601175769293
124,125,Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,7,77,216,0,4,71,2012.8717092909906
125,126,Domino,Jessie J,australian pop,2012,127,55,76,-5,4,78,232,1,3,69,2012.557060714819
126,127,Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,22,44,243,0,9,68,2012.2965761516207
127,128,Wide Awake,Katy Perry,dance pop,2012,160,68,51,-5,39,57,221,7,4,68,2012.841477097595
128,129,The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,16,88,227,0,4,67,2012.6745062176715
129,130,Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,-5,10,71,237,2,7,66,2012.8314465447027
130,131,Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,16,64,228,0,10,65,2012.774432134478
131,132,Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,-6,13,78,211,3,4,65,2012.1296592696535
132,133,We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,38,-6,8,74,251,2,8,63,2012.058935988337
133,134,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,61,2012.467742015256
134,135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72,-4,38,95,206,1,9,59,2012.32471510691
135,136,You Da One,Rihanna,barbadian pop,2012,127,72,70,-5,13,86,200,50,4,57,2012.3644760981401
